"window_idx","cluster","obs_start","obs_end"
1,1,0,210
2,1,10,220
3,0,20,230
4,0,30,240
5,0,40,250
6,0,50,260
7,0,60,270
8,0,70,280
9,0,80,290
10,0,90,300
11,0,100,310
12,0,110,320
13,0,120,330
14,0,130,340
15,0,140,350
16,0,150,360
17,0,160,370
18,0,170,380
19,0,180,390
20,0,190,400
21,0,200,410
22,1,210,420
23,0,220,430
24,0,230,440
25,0,240,450
26,0,250,460
27,0,260,470
28,0,270,480
29,0,280,490
30,0,290,500
31,0,300,510
32,0,310,520
33,0,320,530
34,0,330,540
35,0,340,550
36,0,350,560
37,0,360,570
38,0,370,580
39,0,380,590
40,0,390,600
41,0,400,610
42,1,410,620
43,1,420,630
44,0,430,640
45,0,440,650
46,0,450,660
47,0,460,670
48,0,470,680
49,0,480,690
50,0,490,700
51,0,500,710
52,0,510,720
53,0,520,730
54,0,530,740
55,0,540,750
56,0,550,760
57,0,560,770
58,0,570,780
59,0,580,790
60,0,590,800
61,0,600,810
62,1,610,820
63,1,620,830
64,0,630,840
65,0,640,850
66,0,650,860
67,0,660,870
68,0,670,880
69,0,680,890
70,0,690,900
71,0,700,910
72,0,710,920
73,0,720,930
74,0,730,940
75,0,740,950
76,0,750,960
77,0,760,970
78,0,770,980
79,0,780,990
80,0,790,1000
81,0,800,1010
82,0,810,1020
83,1,820,1030
84,0,830,1040
85,0,840,1050
86,0,850,1060
87,0,860,1070
88,0,870,1080
89,0,880,1090
90,0,890,1100
91,0,900,1110
92,0,910,1120
93,0,920,1130
94,0,930,1140
95,0,940,1150
96,0,950,1160
97,0,960,1170
98,0,970,1180
99,0,980,1190
100,0,990,1200
101,0,1000,1210
102,0,1010,1220
103,1,1020,1230
104,1,1030,1240
105,0,1040,1250
106,0,1050,1260
107,0,1060,1270
108,0,1070,1280
109,0,1080,1290
110,0,1090,1300
111,0,1100,1310
112,0,1110,1320
113,0,1120,1330
114,0,1130,1340
115,0,1140,1350
116,0,1150,1360
117,0,1160,1370
118,0,1170,1380
119,0,1180,1390
120,0,1190,1400
121,0,1200,1410
122,0,1210,1420
123,1,1220,1430
124,1,1230,1440
125,0,1240,1450
126,0,1250,1460
127,0,1260,1470
128,0,1270,1480
129,0,1280,1490
130,0,1290,1500
131,0,1300,1510
132,0,1310,1520
133,0,1320,1530
134,0,1330,1540
135,0,1340,1550
136,0,1350,1560
137,0,1360,1570
138,0,1370,1580
139,0,1380,1590
140,0,1390,1600
141,0,1400,1610
142,0,1410,1620
143,1,1420,1630
144,1,1430,1640
145,0,1440,1650
146,0,1450,1660
147,0,1460,1670
148,0,1470,1680
149,0,1480,1690
150,0,1490,1700
151,0,1500,1710
152,0,1510,1720
153,0,1520,1730
154,0,1530,1740
155,0,1540,1750
156,0,1550,1760
157,0,1560,1770
158,0,1570,1780
159,0,1580,1790
160,0,1590,1800
161,0,1600,1810
162,0,1610,1820
163,1,1620,1830
164,1,1630,1840
165,0,1640,1850
166,0,1650,1860
167,0,1660,1870
168,0,1670,1880
169,0,1680,1890
170,0,1690,1900
171,0,1700,1910
172,0,1710,1920
173,0,1720,1930
174,0,1730,1940
175,0,1740,1950
176,0,1750,1960
177,0,1760,1970
178,0,1770,1980
179,0,1780,1990
180,0,1790,2000
181,0,1800,2010
182,0,1810,2020
183,1,1820,2030
184,1,1830,2040
185,0,1840,2050
186,0,1850,2060
187,0,1860,2070
188,0,1870,2080
189,0,1880,2090
190,0,1890,2100
191,0,1900,2110
192,0,1910,2120
193,0,1920,2130
194,0,1930,2140
195,0,1940,2150
196,0,1950,2160
197,0,1960,2170
198,0,1970,2180
199,0,1980,2190
200,0,1990,2200
201,0,2000,2210
202,0,2010,2220
203,1,2020,2230
204,1,2030,2240
205,0,2040,2250
206,0,2050,2260
207,0,2060,2270
208,0,2070,2280
209,0,2080,2290
210,0,2090,2300
211,0,2100,2310
212,0,2110,2320
213,0,2120,2330
214,0,2130,2340
215,0,2140,2350
216,0,2150,2360
217,0,2160,2370
218,0,2170,2380
219,0,2180,2390
220,0,2190,2400
221,0,2200,2410
222,1,2210,2420
223,1,2220,2430
224,1,2230,2440
225,0,2240,2450
226,0,2250,2460
227,0,2260,2470
228,0,2270,2480
229,0,2280,2490
230,0,2290,2500
231,0,2300,2510
232,0,2310,2520
233,0,2320,2530
234,0,2330,2540
235,0,2340,2550
236,0,2350,2560
237,0,2360,2570
238,0,2370,2580
239,0,2380,2590
240,0,2390,2600
241,0,2400,2610
242,1,2410,2620
243,1,2420,2630
244,0,2430,2640
245,0,2440,2650
246,0,2450,2660
247,0,2460,2670
248,0,2470,2680
249,0,2480,2690
250,0,2490,2700
251,0,2500,2710
252,0,2510,2720
253,0,2520,2730
254,0,2530,2740
255,0,2540,2750
256,0,2550,2760
257,0,2560,2770
258,0,2570,2780
259,0,2580,2790
260,0,2590,2800
261,0,2600,2810
262,0,2610,2820
263,1,2620,2830
264,1,2630,2840
265,0,2640,2850
266,0,2650,2860
267,0,2660,2870
268,0,2670,2880
269,0,2680,2890
270,0,2690,2900
271,0,2700,2910
272,0,2710,2920
273,0,2720,2930
274,0,2730,2940
275,0,2740,2950
276,0,2750,2960
277,0,2760,2970
278,0,2770,2980
279,0,2780,2990
280,0,2790,3000
281,0,2800,3010
282,0,2810,3020
283,0,2820,3030
284,1,2830,3040
285,1,2840,3050
286,0,2850,3060
287,0,2860,3070
288,0,2870,3080
289,0,2880,3090
290,0,2890,3100
291,0,2900,3110
292,0,2910,3120
293,0,2920,3130
294,0,2930,3140
295,0,2940,3150
296,0,2950,3160
297,0,2960,3170
298,0,2970,3180
299,0,2980,3190
300,0,2990,3200
301,0,3000,3210
302,0,3010,3220
303,0,3020,3230
304,0,3030,3240
305,1,3040,3250
